Model,Param,Train Acc,Test Acc,Precision,Recall,F1,Error Rate
Baseline (default params),default,0.981741573033708,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.17877094972067042
Improvement 1: max_depth tuning,max_depth=16,0.9662921348314608,0.8379888268156425,0.8125,0.7536231884057971,0.7819548872180451,0.1620111731843575
Improvement 2: criterion + min_samples_leaf,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 5}",0.8693820224719101,0.776536312849162,0.7735849056603774,0.5942028985507246,0.6721311475409836,0.2234636871508379
Improvement 3: Cost-Complexity Pruning,ccp_alpha=0.00247,0.8876404494382022,0.7821229050279329,0.7678571428571429,0.6231884057971014,0.688,0.2178770949720671
