model,dataset,accuracy,precision,recall,f1,roc_auc
Baseline,train,0.9817415730337079,0.9887218045112782,0.9633699633699634,0.9758812615955473,
Baseline,test,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.7949275362318842
